T,1-point_corr,F,corrs,rhos
1000,-1.0,1.499999883133608,[ 1.         -0.99999999  0.99999996  0.99999997 -0.99999993  0.99999992],[ 0.99999999  0.00000001 -0.        ]
1000,-0.875,1.0462618197454412,[ 1.         -0.875       0.78606881  0.75016474 -0.69713987  0.64427973],[0.8840172 0.0534828 0.0090172]
1000,-0.75,0.6269947010150857,[ 1.         -0.75        0.62908664  0.50000699 -0.50817333  0.51634199],[0.78227166 0.09272834 0.03227166]
1000,-0.625,0.2173025253140148,[ 1.         -0.625       0.3589261   0.25040748 -0.09285985 -0.06455257],[0.65223153 0.16026847 0.02723153]
1000,-0.5,-0.1593811930170756,[ 1.         -0.5         0.0711186   0.00029487  0.35776364 -0.71572388],[0.51777965 0.23222035 0.01777965]
1000,-0.375,-0.5496262115467583,[ 1.         -0.375       0.0120809  -0.24936825  0.35081788 -0.45205996],[0.44052022 0.24697978 0.06552022]
1000,-0.25,-0.92496413448071,[ 1.         -0.25        0.00042256 -0.49573656  0.24952055 -0.00186589],[0.37510564 0.24989436 0.12510564]
1000,-0.125,-1.2894342856595473,[ 1.         -0.125      -0.00055457 -0.74686991  0.12499624  0.49674551],[0.31236136 0.25013864 0.18736136]
1000,0.0,0.28828807418420743,[1.         0.         0.18227246 0.34106907 0.07330651 0.33581197],[0.29556812 0.20443188 0.29556812]
1000,0.125,-1.293956454610132,[ 1.          0.125       0.0047267  -0.74999999 -0.11554659  0.51890681],[0.18868168 0.24881832 0.31368168]
1000,0.25,-0.9301273416302747,[ 1.          0.25        0.00033145 -0.49999913 -0.24933708  0.00132525],[0.12508286 0.24991714 0.37508286]
1000,0.375,-0.5461156249057356,[ 1.          0.375       0.00034809 -0.24999978 -0.37430381 -0.49860777],[0.06258702 0.24991298 0.43758702]
1000,0.5,-0.15379320647925346,[1.         0.5        0.45372222 0.00000047 0.40744445 0.81488858],[0.11343056 0.13656944 0.61343056]
1000,0.625,0.23202284129632023,[ 1.     0.625  0.25   0.25  -0.125 -0.5  ],[0.     0.1875 0.625 ]
1000,0.75,0.6287347530864652,[1.   0.75 0.5  0.5  0.25 0.  ],[0.    0.125 0.75 ]
1000,0.875,1.046103115779481,[1.         0.875      0.75067419 0.75000365 0.62634838 0.50269433],[0.00016855 0.06233145 0.87516855]
1000,1.0,1.4999998927010034,[1.         0.99999999 0.99999997 0.99999998 0.99999994 0.99999991],[-0.          0.00000001  0.99999999]
