T,1-point_corr,F,corrs,rhos
3000,-1.0,-2.314881902649862e-07,[ 1. -1.  1.  1. -1.  1.],[ 1.  0. -0.]
3000,-0.75,-0.3838949897876961,[ 1.   -0.75  0.6   0.53 -0.45  0.38],[0.77 0.1  0.02]
3000,-0.5,-0.5730418035407413,[ 1.   -0.5   0.3   0.31 -0.1   0.  ],[0.58 0.17 0.08]
3000,-0.25,-0.6767601529320726,[ 1.   -0.25  0.12  0.2  -0.03  0.04],[0.4  0.22 0.15]
3000,0.0,-0.7125782178269001,[ 1.   -0.    0.05  0.04  0.08  0.08],[0.26 0.24 0.26]
3000,0.25,-0.6830170873082948,[1.   0.25 0.08 0.1  0.03 0.07],[0.15 0.23 0.4 ]
3000,0.5,-0.5745858277218944,[ 1.    0.5   0.25  0.27  0.03 -0.1 ],[0.06 0.19 0.56]
3000,0.75,-0.38689933413642646,[1.   0.75 0.59 0.56 0.43 0.31],[0.02 0.1  0.77]
3000,1.0,-2.314295839480675e-07,[1. 1. 1. 1. 1. 1.],[-0.  0.  1.]
